Timestamp Line,YouTube Link
**No transcript found 😶**,https://www.youtube.com/watch?v=bwcoC8ENT3I
**No transcript found 😶**,https://www.youtube.com/watch?v=-c71--SWBeI
**No transcript found 😶**,https://www.youtube.com/watch?v=QBgtRnWg8rQ
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe9
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe1
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe2
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe3
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO91
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe5
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe5
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO90
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe5
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO89
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=3NDhxiGawe4
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO98
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO94
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO92
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO99
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO96
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO10
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO97
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO10
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO93
**No transcript found 😶**,https://www.youtube.com/watch?v=31PtTo5DO95
**No transcript found 😶**,https://www.youtube.com/watch?v=akYWBHfjiuI
**No transcript found 😶**,https://www.youtube.com/watch?v=LYorQdKdgSg
**No transcript found 😶**,https://www.youtube.com/watch?v=DJ4khnf1_5s
**No transcript found 😶**,https://www.youtube.com/watch?v=7u1M0D3p2Mw
**No transcript found 😶**,https://www.youtube.com/watch?v=kx6JP4RKlbg
**No transcript found 😶**,https://www.youtube.com/watch?v=1y2CyCaV3NI
**No transcript found 😶**,https://www.youtube.com/watch?v=emQ_D9uPPUU
**No transcript found 😶**,https://www.youtube.com/watch?v=IOrlPlIVAT0
**No transcript found 😶**,https://www.youtube.com/watch?v=LKaOA9kg2kc
**No transcript found 😶**,https://www.youtube.com/watch?v=0XzQxcWk2UU
**No transcript found 😶**,https://www.youtube.com/watch?v=HJRQWA4OuyM
**No transcript found 😶**,https://www.youtube.com/watch?v=i78xD6MiGJI
**No transcript found 😶**,https://www.youtube.com/watch?v=n7AzSa4ouRI
**No transcript found 😶**,https://www.youtube.com/watch?v=0rCClhllm0w
**No transcript found 😶**,https://www.youtube.com/watch?v=UajGjiRaG4w
**No transcript found 😶**,https://www.youtube.com/watch?v=HGuiIz63Gbk
**No transcript found 😶**,https://www.youtube.com/watch?v=sB5YfYlhKx8
**No transcript found 😶**,https://www.youtube.com/watch?v=n3D9uFjsOlk
**No transcript found 😶**,https://www.youtube.com/watch?v=7a_jq0OhCxA
**No transcript found 😶**,https://www.youtube.com/watch?v=Kr-9yaGaoQ0
**No transcript found 😶**,https://www.youtube.com/watch?v=CKkyMRHmv_I
**No transcript found 😶**,https://www.youtube.com/watch?v=-AcBTDjPeB8
**No transcript found 😶**,https://www.youtube.com/watch?v=3obpWQt5Tcc
**No transcript found 😶**,https://www.youtube.com/watch?v=q4HwGx9ckXQ
**No transcript found 😶**,https://www.youtube.com/watch?v=Y-sh3Avpomk
**No transcript found 😶**,https://www.youtube.com/watch?v=ENskjiDjM4Y
**No transcript found 😶**,https://www.youtube.com/watch?v=KSH7zNlCG4A
**No transcript found 😶**,https://www.youtube.com/watch?v=v4OttI6V_nI
**No transcript found 😶**,https://www.youtube.com/watch?v=t6SFXiWu8Xw
**No transcript found 😶**,https://www.youtube.com/watch?v=LW83-rtADRQ
**No transcript found 😶**,https://www.youtube.com/watch?v=JChJBYm4znw
**No transcript found 😶**,https://www.youtube.com/watch?v=mssyw8-MT00
**No transcript found 😶**,https://www.youtube.com/watch?v=D9boFh8xfLU
**No transcript found 😶**,https://www.youtube.com/watch?v=syIuTWp60vI
**No transcript found 😶**,https://www.youtube.com/watch?v=lxqbEqQcPq8
**No transcript found 😶**,https://www.youtube.com/watch?v=mljE7Ph7MS8
**No transcript found 😶**,https://www.youtube.com/watch?v=5YGJOlfZVmk
**No transcript found 😶**,https://www.youtube.com/watch?v=O4_JR4RMbH0
**No transcript found 😶**,https://www.youtube.com/watch?v=8kHhSgVRL0I
**No transcript found 😶**,https://www.youtube.com/watch?v=tF_JEQ8fWmo
**No transcript found 😶**,https://www.youtube.com/watch?v=j4bXbPJdn_E&t=17s
**No transcript found 😶**,https://www.youtube.com/watch?v=xNC2PkS5ulA
**No transcript found 😶**,https://www.youtube.com/watch?v=dBYgwUJ0-tQ
**No transcript found 😶**,https://www.youtube.com/watch?v=mljE7Ph7MS8
**No transcript found 😶**,https://www.youtube.com/watch?v=QQMiSiYXEN0
**No transcript found 😶**,https://www.youtube.com/watch?v=O4_JR4RMbH0
**No transcript found 😶**,https://www.youtube.com/watch?v=8kHhSgVRL0I
**No transcript found 😶**,https://www.youtube.com/watch?v=5YGJOlfZVmk
**No transcript found 😶**,https://www.youtube.com/watch?v=tF_JEQ8fWmo
**No transcript found 😶**,https://www.youtube.com/watch?v=j4bXbPJdn_E&t=17s
**No transcript found 😶**,https://www.youtube.com/watch?v=xNC2PkS5ulA
**No transcript found 😶**,https://www.youtube.com/watch?v=dBYgwUJ0-tQ
**No transcript found 😶**,https://www.youtube.com/watch?v=QQMiSiYXEN0
**No transcript found 😶**,https://www.youtube.com/watch?v=BdLEOVOYiEs
**No transcript found 😶**,https://www.youtube.com/watch?v=ilMp2cU67ck
**No transcript found 😶**,https://www.youtube.com/watch?v=JHvB5lWMa9o
**No transcript found 😶**,https://www.youtube.com/watch?v=RjrMBgOWwdA
**No transcript found 😶**,https://www.youtube.com/watch?v=KvyCUTLrHco
**No transcript found 😶**,https://www.youtube.com/watch?v=BdLEOVOYiEs
**No transcript found 😶**,https://www.youtube.com/watch?v=ilMp2cU67ck
**No transcript found 😶**,https://www.youtube.com/watch?v=JHvB5lWMa9o
**No transcript found 😶**,https://www.youtube.com/watch?v=RjrMBgOWwdA
